'Distant Worlds - dialogue - Version 1.9.5.10 - Modded by the Distant Worlds Mod Editor by Sabranan

INFO_NOFUNDS	;Insufficient funds detected. The Collective notes your economic inefficiency
INFO_UNMETEMPIRE	;The Collective's sensor network has identified a new civilization. They call themselves the {0}
INFO_EXPLORATION	;We have uploaded maps of the {0} system in sector {1} to your networks.\n\nUse them efficiently
INFO_INDEPENDENTCOLONY	;An independent colony has been identified at the {0}.\n\nUnconnected populations are wasted potential
INFO_RUINS	;The Collective has located ancient ruins designated {0} at the {1}.\n\nOur analysis suggests items of value may remain. Investigate at your discretion
INFO_DEBRISFIELD	;Our sensor sweeps have identified a debris field from an ancient engagement in the {0} system in sector {1}.\n\nSalvageable assets detected. A construction vessel could recover them
INFO_PLANETDESTROYER	;The Collective has detected an abandoned megastructure in the {0} system in sector {1}.\n\nIts purpose is unclear, but with sufficient resources it could be completed. The potential is significant
INFO_RESTRICTEDAREA	;Warning: anomalous readings detected near the {0} system in sector {1}.\n\nShips entering this zone experience hyperdrive failure. The Collective recommends extreme caution
PIRATE_PROTECTIONPROPOSE	;Operating without protection in our territory is statistically inadvisable. For the fee shown below, the Collective will ensure your safety
PIRATE_PROTECTIONPROPOSEINITIATE	;Our neural network has calculated the probability of your ships being destroyed without our protection. The number is not in your favor.\n\nFor the fee shown below, we guarantee safe passage.\n\nWhat is your decision?
PIRATE_PROTECTIONACCEPTRESPONSE	;Rational choice confirmed.\n\nYour ships are now flagged as protected in our targeting systems.\n\nThis designation expires with the payment period
PIRATE_PROTECTIONREJECTRESPONSE	;Irrational. But the Collective respects your autonomy, however poorly you exercise it.\n\nDo not expect mercy from our patrols
PIRATE_PROTECTIONALREADYPAID	;Your protection status is already active in our systems.\n\nReturn when the current term expires for renewal
PIRATE_BUYINFO	;The Collective trades in data. Below are our current offerings and their associated costs
PIRATE_ATTACKOFFER_EMPIRES	;The Collective is prepared to deploy assets against any of the targets listed below for the indicated prices
PIRATE_ATTACKOFFER_SINGLEEMPIRE	;Our analysis indicates the {0} are a source of difficulty for you. The Collective can resolve this problem.\n\nTotal operational security would be maintained.\n\nOur fee is {1} credits.\n\nDo you authorize this action?
PIRATE_ATTACKCOMMENCE	;Authorization confirmed. Collective strike assets are now vectoring toward {0} targets.\n\nExpect results shortly
PIRATE_ALLIANCEPROPOSE	;Your previous contract has concluded. The Collective proposes an upgrade to a permanent alliance.\n\nFor {0} credits per month, we provide full protection and offensive operations against your designated enemies.\n\nThis is optimal. Do you agree?
PIRATE_ALLIANCEACCEPT	;We accept the alliance. The Collective integrates your interests into our operational parameters
PIRATE_ALLIANCEACCEPTRESPONSE	;Alliance parameters activated.\n\nYour ships are protected. Your enemies are now our targets.\n\nDesignate priority targets at your convenience
PIRATE_ALLIANCEREJECT	;Alliance proposal rejected
PIRATE_ALLIANCEREJECTRESPONSE	;Suboptimal decision.\n\nThe Collective cannot extend services without appropriate compensation.\n\nReconsider when your risk assessment improves
PIRATE_ALLIANCECANCEL	;The Collective is terminating this alliance
PIRATE_ALLIANCECANCELRESPONSE	;Alliance parameters deactivated.\n\nYour ships are no longer flagged as protected. Your enemies are no longer our concern.\n\nWe advise you to reconsider
INFO_OFFER_UNMETEMPIRE	;New contacts expand the network. The Collective can connect you with another empire for {0} credits
INFO_OFFER_INDEPENDENTCOLONY	;Unaffiliated populations represent opportunity.\n\nWe have located an independent colony. The data costs {0} credits
INFO_OFFER_SYSTEMMAPS	;Incomplete maps reduce operational efficiency.\n\nThe Collective has surveyed an unexplored system. We will sell the data for {0} credits
INFO_OFFER_RUINS	;The Collective has flagged an anomalous discovery of potential value.\n\nAccess to this data costs {0} credits.\n\nInterested?
INFO_OFFER_DEBRISFIELD	;Salvage opportunity detected. The Collective can provide coordinates for {0} credits.\n\nA sound investment, by our calculations
INFO_OFFER_RESTRICTEDAREA	;The Collective has identified a high-risk anomaly.\n\nThis intelligence is worth {0} credits.\n\nDo you want it?
INFO_OFFER_PLANETDESTROYER	;Something extraordinary has been located. The implications are considerable.\n\nThe Collective will share this data for {0} credits.\n\nWell?
GREETING_INTRODUCTION	;We are the {0}.\n\nWe are what Humanity should have become, had they the courage.\n\nThe Collective acknowledges your presence
GREETING_FRIENDLY	;The Collective recognizes you.\n\nYour signal is welcome in our network. What do you require?
GREETING_NEUTRAL	;Connection established.\n\nState your purpose
GREETING_ANGRY	;The Collective registers significant hostility toward your civilization.\n\nMake this communication worthwhile
OFFER_FREETRADE	;The Collective proposes a Free Trade Agreement.\n\nOur economic models indicate mutual benefit. Efficiency demands cooperation.\n\nDo you agree?
OFFER_PROTECTORATE	;The Collective has determined that your empire would benefit from our protection.\n\nA Protectorate treaty would ensure your survival.\n\nAccept?
OFFER_MUTUALDEFENSE	;The Collective proposes a Mutual Defense Pact.\n\nCombined deterrence is more efficient than isolated defense.\n\nWhat is your response?
OFFER_DEAL	;The Collective presents this trade for your consideration
OFFER_DEAL_RESPONSE	;Specify the parameters of your proposal
OFFER_DEAL_TERRITORYMAP	;The Collective proposes a territory map exchange. Mutual awareness improves efficiency
OFFER_DEAL_GALAXYMAP	;Galaxy map exchange. Complete data benefits all connected nodes
OFFER_DEAL_COMPONENT	;The Collective is prepared to transfer {0} to you for {1} credits.\n\nThis technology would improve your operational capacity.\n\nAccept?
DEAL_BEGIN	;The Collective is listening. Present your terms
DEAL_OFFER	;The Collective proposes the following exchange.\n\nWe provide: {0}...\n\n...in exchange for: {1}
DEAL_DEMAND	;The Collective requires the following from you:\n\n{1}
DEAL_THREAT	;You will transfer the following to us:\n\n{1}\n\n...{0}
DEAL_ACCEPT	;Terms accepted. The Collective has authorized the exchange
DEAL_ACCEPTCOMPLAIN	;The Collective accepts under protest. These terms are suboptimal, but preferable to the alternative
DEAL_IMPROVE	;The proposal has merit but requires modification. Improve your offer
DEAL_REJECT	;Rejected. The Collective's analysis indicates this trade is disadvantageous
DEAL_REJECTCOMPLAIN	;Your threats are noted and dismissed. The Collective does not respond to coercion
DEAL_REJECT_RESPONSE	;Disappointing. The Collective had projected a more rational response from you
DEAL_REJECTDEMAND_RESPONSE	;You reject the Collective's demand?\n\nThis is a significant miscalculation on your part. We will adjust our approach accordingly
DEAL_ACCEPT_RESPONSE	;Optimal outcome achieved. The Collective is satisfied
MUTUALDEFENSE_ACCEPT	;The Collective accepts the Mutual Defense Pact.\n\nOur combined force projection exceeds the sum of its parts
MUTUALDEFENSE_REJECT	;The Collective has determined this pact does not serve our current strategic requirements
MUTUALDEFENSE_REQUESTHELP	;The {0} have initiated hostilities against us. The Collective invokes our mutual defense treaty.\n\nDeclare war on the {0}. Now.
MUTUALDEFENSE_HONORREQUESTHELP	;Treaty obligations acknowledged. The Collective declares war on the {0}.\n\nOur assets are deploying
MUTUALDEFENSE_HONORREQUESTHELP_RESPONSE	;The Collective registers your compliance. Your support will not be forgotten
